mean,std,f3,f4,f5,f6
-3.1974423109204506e-17,0.998847339757889,0,0,0,0
9.473903143468002e-18,0.9993824509935788,0,0,0,0
-1.7171449447535755e-17,0.9995292169885017,0,0,0,0
-7.697546304067752e-18,0.9992076540307149,0,0,0,0
5.033011044967377e-18,0.9993195437664375,0,0,0,0
2.842170943040401e-17,0.9988095364231175,0,0,0,0
1.5395092608135503e-17,0.9994638691665969,0,0,0,0
8.289665250534503e-18,0.999564067892881,0,0,0,0
7.105427357601002e-18,0.9994114397903748,0,0,0,0
-3.552713678800501e-18,0.9994370930269959,0,0,0,0
8.289665250534503e-18,0.9993371603032328,0,0,0,0
-8.289665250534503e-18,0.9988133471953625,0,0,0,0
3.789561257387201e-17,0.9992104551954555,0,0,0,0
1.1842378929335004e-17,0.9990916070324157,0,0,0,0
-1.6579330501069006e-17,0.9988777259146177,0,0,0,0
-5.921189464667502e-18,0.9987759977048798,0,0,0,0
-2.960594732333751e-17,0.9985976982172559,0,0,0,0
1.5395092608135503e-17,0.9986373833781549,0,0,0,0
4.0264088359739013e-17,0.9990763539435291,0,0,0,0
-1.1842378929335004e-17,0.9990198095440762,0,0,0,0
2.3684757858670008e-17,0.9986174148273436,0,0,0,0
1.5395092608135503e-17,0.9986858833312932,0,0,0,0
-1.4802973661668754e-17,0.998583363639938,0,0,0,0
2.2500519965736505e-17,0.9985718997554262,0,0,0,0
1.1842378929335003e-18,0.9993891864484056,0,0,0,0
-4.736951571734001e-18,0.9994901972274407,0,0,0,0
3.552713678800501e-18,0.999506675176862,0,0,0,0
2.6053233644537006e-17,0.9995562427551355,0,0,0,0
-2.842170943040401e-17,0.9995354244851208,0,0,0,0
4.736951571734001e-18,0.9992989930422088,0,0,0,0
-2.6053233644537006e-17,0.9995194268830827,0,0,0,0
-3.552713678800501e-18,0.9995830506346028,0,0,0,0
1.4210854715202004e-17,0.999615278388996,0,0,0,0
9.473903143468002e-18,0.9994206820666609,0,0,0,0
2.3684757858670005e-18,0.9995198520768498,0,0,0,0
1.3026616822268503e-17,0.9993854841056181,0,0,0,0
3.552713678800501e-18,0.9993891046232463,0,0,0,0
4.1448326252672514e-18,0.9990977246673118,0,0,0,0
-9.473903143468002e-18,0.9995199315874871,0,0,0,0
3.552713678800501e-18,0.9994386293588031,0,0,0,0
-2.3684757858670005e-18,0.9995577220779355,0,0,0,0
-4.736951571734001e-18,0.9994796479942134,0,0,0,0
-8.881784197001253e-18,0.9995396439583262,0,0,0,0
-3.434289889507151e-17,0.9993984690330339,0,0,0,0
3.848773152033876e-18,0.9996665560405561,0,0,0,0
8.881784197001253e-18,0.9992357461825097,0,0,0,0
-1.4210854715202004e-17,0.999181326215801,0,0,0,0
-1.8947806286936004e-17,0.99910121192404,0,0,0,0
2.960594732333751e-18,0.9993829703861364,0,0,0,0
-2.0132044179869507e-17,0.999553831459657,0,0,0,0
2.3684757858670008e-17,0.999540438823301,0,0,0,0
-2.1316282072803006e-17,0.9995350321958039,0,0,0,0
-7.697546304067752e-18,0.9996043165378126,0,0,0,0
1.7763568394002505e-17,0.9993028944117149,0,0,0,0
-1.3026616822268503e-17,0.9994273844525288,0,0,0,0
1.4210854715202004e-17,0.9991757857394633,0,0,0,0
0.0,0.9993921662447307,0,0,0,0
5.921189464667502e-18,0.9994224292642402,0,0,0,0
-1.8947806286936004e-17,0.9994307243558247,0,0,0,0
-9.473903143468002e-18,0.9994633224776355,0,0,0,0
3.434289889507151e-17,0.9995440958293857,0,0,0,0
